Case,X,Y,Z,a,v,modeSelected
1,-0.03869685,1.560019,0.4759054,-14.84848,0.2283802,Tap
1,-0.03862272,1.55673,0.4794269,0,0,Tap
1,-0.03862272,1.55673,0.4794269,0,0,Tap
1,-0.05818704,1.55454,0.5048304,80.34666,1.606933,Tap
1,-0.05818704,1.55454,0.5048304,80.34666,1.606933,Tap
1,-0.0593231,1.551454,0.5082321,-68.51806,0.2365721,Tap
1,-0.05998007,1.551488,0.5083022,-10.17472,0.03307767,Tap
1,-0.05998007,1.551488,0.5083022,-10.17472,0.03307767,Tap
1,-0.06049259,1.551511,0.508389,-0.3530323,0.02601702,Tap
1,-0.06017511,1.552089,0.5084014,0.3471321,0.03295967,Tap
1,-0.0598852,1.552402,0.5086584,-0.4021731,0.0249162,Tap
1,-0.0598852,1.552402,0.5086584,-0.4021731,0.0249162,Tap
1,-0.05984005,1.552589,0.507504,1.680059,0.05851738,Tap
1,-0.05988267,1.552235,0.5057549,1.53651,0.08924758,Tap
1,-0.05982923,1.551877,0.5044327,-1.034703,0.06855351,Tap
1,-0.05982923,1.551877,0.5044327,-1.034703,0.06855351,Tap
1,-0.05982923,1.551877,0.5044327,-1.034703,0.06855351,Tap
1,-0.06063564,1.550048,0.4990301,10.97386,0.2880307,Tap
1,-0.06122745,1.549496,0.4964695,-7.687915,0.1342724,Tap
1,-0.06260382,1.549839,0.4931388,2.336915,0.1810107,Tap
1,-0.06260382,1.549839,0.4931388,2.336915,0.1810107,Tap
1,-0.06389326,1.550331,0.4890838,1.65822,0.2141751,Tap
1,-0.06492058,1.550668,0.4838867,2.561992,0.2654149,Tap
1,-0.06492058,1.550668,0.4838867,2.561992,0.2654149,Tap
1,-0.06561206,1.550298,0.4768243,4.493822,0.3552914,Tap
1,-0.06541868,1.550738,0.4716668,-4.815078,0.2589898,Tap
1,-0.06541868,1.550738,0.4716668,-4.815078,0.2589898,Tap
1,-0.06502182,1.546216,0.4571524,25.07017,0.7603933,Tap
1,-0.06441072,1.543782,0.4484878,-15.46803,0.4510326,Tap
1,-0.06441072,1.543782,0.4484878,-15.46803,0.4510326,Tap
1,-0.06504482,1.538064,0.4259748,35.53929,1.161818,Tap
1,-0.0655822,1.530383,0.4124579,-19.20102,0.777798,Tap
1,-0.06546594,1.522455,0.3993378,-0.5640656,0.7665167,Tap
1,-0.06546594,1.522455,0.3993378,-0.5640656,0.7665167,Tap
1,-0.0599068,1.504284,0.373795,41.2637,1.591791,Tap
1,-0.05617654,1.491976,0.3547907,-22.22192,1.147352,Tap
1,-0.05617654,1.491976,0.3547907,-22.22192,1.147352,Tap
1,-0.04722564,1.453718,0.3150978,82.25844,2.792521,Tap
1,-0.04483008,1.428315,0.2987323,-63.84211,1.515679,Tap
1,-0.04483008,1.428315,0.2987323,-63.84211,1.515679,Tap
1,-0.0405851,1.339174,0.2723975,156.8313,4.652304,Tap
1,-0.03242249,1.292908,0.2466159,-98.64112,2.679482,Tap
1,-0.03707425,1.265627,0.2277713,-50.27073,1.674067,Tap
1,-0.03707425,1.265627,0.2277713,-50.27073,1.674067,Tap
