Case,X,Y,Z,modeSelected
1,-0.1148051,0.8228362,0.537,Tap
2,0.212132,1.312132,0.537,Tap
3,-0.2771639,0.985195,0.537,Tap
4,0.3,1.1,0.537,Tap
5,-0.2771639,1.214805,0.537,Tap
6,0.212132,0.8878679,0.537,Tap
7,-0.114805,1.377164,0.537,Tap
8,3.577464E-09,0.8,0.537,Tap
9,0.114805,1.377164,0.537,Tap
10,-0.2121321,0.887868,0.537,Tap
11,0.2771639,1.214805,0.537,Tap
12,-0.3,1.1,0.537,Tap
12,0.2033603,1.012025,0.4316983,Tap
13,0.2771639,0.985195,0.537,Tap
13,0.2771639,0.985195,0.537,Tap
14,-0.212132,1.312132,0.537,Tap
15,0.1148051,0.8228362,0.537,Tap
16,-0.09567089,0.8690301,0.537,Tap
17,0.1767767,1.276777,0.537,Tap
18,-0.2309699,1.004329,0.537,Tap
19,0.25,1.1,0.537,Tap
20,-0.2309699,1.195671,0.537,Tap
21,0.1767767,0.9232233,0.537,Tap
22,-0.09567085,1.33097,0.537,Tap
23,2.98122E-09,0.85,0.537,Tap
24,0.09567086,1.33097,0.537,Tap
24,0.09567086,1.33097,0.537,Tap
25,-0.1767767,0.9232234,0.537,Tap
26,0.2309699,1.195671,0.537,Tap
27,-0.25,1.1,0.537,Tap
27,-0.25,1.1,0.537,Tap
28,0.2309699,1.004329,0.537,Tap
29,-0.1767767,1.276777,0.537,Tap
30,0.0956709,0.8690302,0.537,Tap
32,0.2474874,1.347487,0.537,Tap
32,0.2474874,1.347487,0.537,Tap
33,-0.3233578,0.9660608,0.537,Tap
33,0.3135448,1.126895,0.3991893,Tap
34,0.35,1.1,0.537,Tap
35,-0.3233578,1.233939,0.537,Tap
36,0.2474873,0.8525126,0.537,Tap
36,0.2474873,0.8525126,0.537,Tap
37,-0.1339392,1.423358,0.537,Tap
38,4.173708E-09,0.75,0.537,Tap
39,0.1339392,1.423358,0.537,Tap
40,-0.2474874,0.8525127,0.537,Tap
40,-0.2474874,0.8525127,0.537,Tap
41,0.3233578,1.233939,0.537,Tap
42,-0.35,1.1,0.537,Tap
43,0.3233579,0.9660608,0.537,Tap
43,0.3233579,0.9660608,0.537,Tap
43,0.3233579,0.9660608,0.537,Tap
43,0.3233579,0.9660608,0.537,Tap
44,-0.2474874,1.347487,0.537,Tap
45,0.1339393,0.7766422,0.537,Tap
45,-0.004031658,1.378931,0.414656,Tap
